lat,long
-23.690315,-46.649574
-23.690417,-46.649544
-23.690842,-46.649415
-23.690769,-46.649064
-23.690717,-46.648845
-23.690615,-46.648487
-23.69069,-46.648454
-23.690815,-46.648407
-23.691164,-46.648272
-23.691765,-46.648041
-23.692044,-46.647926
-23.692824,-46.647686
-23.693135,-46.647566
-23.69379,-46.646872
-23.693952,-46.646701
-23.694038,-46.646618
-23.694163,-46.646499
-23.694131,-46.646393
-23.69408,-46.646078
-23.69396,-46.645499
-23.693867,-46.645043
-23.693782,-46.644701
-23.693633,-46.644766
-23.693318,-46.644928
-23.692841,-46.645135
-23.692568,-46.645255
-23.69254,-46.645147
-23.692478,-46.644952
-23.692447,-46.644889
-23.692314,-46.64466
-23.692225,-46.644509
-23.692134,-46.644355
-23.692075,-46.644246
-23.691984,-46.644181
-23.691823,-46.644138
-23.691081,-46.643909
-23.69074,-46.643801
-23.690498,-46.643728
-23.689973,-46.643569
-23.689634,-46.643469
-23.689341,-46.643397
-23.689006,-46.643279
-23.6889,-46.643225
-23.688692,-46.643144
-23.688417,-46.643049
-23.688339,-46.643012
-23.688251,-46.642892
-23.688109,-46.642717
-23.687936,-46.642481
-23.687908,-46.64245
-23.687845,-46.64234
-23.687747,-46.642131
-23.687693,-46.641975
-23.687659,-46.641874
-23.687629,-46.641718
-23.687617,-46.641597
-23.687602,-46.641325
-23.687614,-46.640934
-23.687611,-46.640438
-23.687613,-46.640324
-23.687615,-46.64026
-23.687603,-46.639893
-23.687604,-46.63973
-23.687601,-46.639556
-23.687591,-46.639477
-23.68819,-46.638874
-23.688779,-46.638247
-23.688824,-46.638201
-23.688935,-46.638086
-23.689177,-46.637835
-23.68929,-46.637724
-23.689289,-46.637131
-23.689283,-46.63689
-23.689279,-46.63661
-23.689255,-46.636089
-23.689232,-46.635605
-23.689216,-46.635328
-23.689217,-46.635274
-23.689222,-46.63523
-23.689229,-46.635159
-23.689247,-46.635091
-23.689304,-46.63501
-23.689139,-46.634968
-23.688873,-46.634898
-23.688727,-46.634863
-23.688701,-46.634855
-23.68859,-46.634818
-23.688555,-46.6348
-23.688521,-46.634775
-23.688503,-46.634761
-23.688476,-46.634734
-23.688439,-46.634677
-23.688416,-46.634631
-23.688379,-46.634518
-23.688327,-46.634363
-23.688238,-46.634142
-23.688183,-46.634028
-23.688105,-46.633881
-23.68804,-46.633782
-23.687985,-46.633731
-23.687836,-46.633656
-23.687811,-46.633644
-23.687755,-46.633617
-23.687587,-46.633566
-23.687508,-46.633551
-23.687356,-46.633525
-23.687244,-46.633506
-23.687107,-46.633484
-23.687033,-46.633485
-23.686976,-46.633483
-23.686892,-46.633499
-23.686804,-46.633521
-23.686718,-46.63355
-23.686614,-46.63355
-23.686589,-46.633546
-23.686561,-46.633546
-23.686147,-46.633466
-23.685787,-46.633373
-23.685722,-46.633361
-23.685123,-46.633235
-23.684842,-46.633169
-23.684495,-46.633081
-23.684357,-46.633027
-23.684153,-46.632962
-23.683898,-46.633521
-23.68384,-46.633647
-23.683733,-46.633835
-23.683478,-46.634262
-23.683413,-46.634375
-23.683378,-46.634436
-23.68314,-46.634859
-23.682683,-46.635615
-23.682486,-46.635932
-23.682185,-46.636445
-23.682148,-46.636506
-23.681993,-46.636774
-23.681763,-46.637172
-23.681724,-46.637241
-23.681669,-46.637343
-23.681365,-46.637848
-23.681235,-46.638055
-23.681154,-46.638216
-23.681007,-46.638434
-23.680943,-46.638539
-23.68086,-46.63865
-23.680767,-46.638765
-23.680648,-46.638907
-23.680379,-46.639166
-23.680181,-46.639322
-23.68004,-46.639434
-23.679527,-46.639898
-23.679335,-46.640062
-23.678846,-46.640468
-23.678736,-46.640564
-23.678353,-46.640881
-23.67821,-46.640998
-23.67809,-46.641072
-23.677946,-46.641185
-23.677836,-46.641254
-23.677568,-46.641391
-23.677294,-46.641513
-23.677032,-46.641615
-23.676587,-46.641771
-23.676058,-46.641962
-23.67581,-46.642081
-23.675675,-46.642137
-23.675193,-46.642383
-23.674605,-46.64268
-23.674257,-46.642862
-23.673966,-46.643041
-23.673659,-46.643261
-23.673354,-46.643522
-23.673148,-46.64372
-23.673011,-46.643883
-23.672863,-46.644069
-23.672506,-46.64453
-23.672301,-46.644829
-23.671985,-46.64527
-23.671373,-46.646097
-23.670539,-46.647258
-23.670146,-46.647788
-23.669848,-46.648211
-23.669463,-46.648745
-23.669333,-46.648946
-23.669259,-46.649068
-23.669118,-46.64932
-23.669063,-46.649448
-23.66879,-46.650084
-23.668465,-46.650843
-23.667915,-46.652107
-23.667705,-46.652596
-23.667467,-46.653144
-23.667279,-46.653596
-23.66693,-46.65443
-23.66665,-46.655039
-23.666446,-46.655483
-23.666051,-46.656396
-23.665757,-46.657084
-23.665694,-46.65723
-23.665508,-46.657591
-23.665236,-46.658128
-23.664984,-46.658642
-23.664433,-46.659698
-23.664297,-46.65996
-23.664219,-46.660096
-23.664025,-46.660372
-23.663884,-46.660545
-23.66376,-46.660697
-23.663634,-46.660836
-23.663539,-46.660941
-23.663393,-46.661072
-23.663171,-46.661254
-23.662737,-46.661576
-23.662472,-46.66177
-23.662299,-46.661893
-23.662027,-46.662112
-23.661538,-46.662469
-23.661286,-46.662651
-23.661126,-46.662821
-23.661065,-46.662857
-23.66094,-46.662929
-23.660869,-46.662944
-23.660696,-46.663004
-23.660647,-46.663017
-23.660563,-46.663039
-23.660435,-46.663085
-23.66028,-46.663133
-23.660078,-46.663142
-23.659935,-46.663148
-23.659521,-46.663121
-23.659458,-46.663136
-23.65921,-46.663198
-23.659017,-46.663257
-23.65885,-46.663328
-23.658598,-46.66345
-23.658101,-46.663894
-23.657848,-46.664152
-23.657498,-46.664492
-23.657194,-46.664793
-23.656844,-46.665121
-23.65659,-46.66536
-23.656002,-46.665934
-23.655762,-46.666167
-23.655556,-46.666351
-23.655249,-46.6666
-23.655081,-46.666731
-23.654986,-46.666815
-23.654779,-46.666972
-23.654595,-46.667122
-23.654403,-46.667301
-23.654068,-46.667782
-23.653838,-46.6681
-23.65376,-46.668197
-23.653589,-46.668392
-23.653355,-46.668598
-23.653217,-46.668692
-23.652828,-46.668928
-23.652702,-46.668986
-23.652505,-46.669053
-23.652115,-46.669184
-23.651576,-46.669358
-23.651512,-46.669374
-23.651339,-46.669429
-23.651307,-46.669451
-23.651239,-46.669459
-23.650497,-46.669701
-23.649534,-46.670023
-23.649213,-46.670093
-23.648837,-46.670145
-23.648563,-46.670217
-23.64836,-46.670315
-23.648151,-46.670406
-23.647806,-46.670514
-23.647212,-46.670688
-23.646784,-46.670884
-23.646611,-46.67098
-23.646332,-46.671143
-23.645965,-46.671361
-23.645621,-46.671561
-23.644858,-46.671981
-23.644679,-46.67207
-23.644356,-46.672308
-23.64423,-46.672418
-23.643964,-46.672643
-23.643884,-46.672701
-23.643465,-46.673058
-23.64316,-46.673323
-23.642673,-46.673735
-23.642015,-46.674331
-23.641769,-46.674618
-23.641446,-46.675061
-23.641329,-46.675247
-23.641145,-46.675494
-23.641062,-46.675613
-23.640968,-46.675767
-23.640828,-46.675962
-23.640778,-46.676022
-23.640698,-46.6761
-23.640648,-46.676147
-23.640545,-46.676234
-23.64038,-46.676335
-23.640218,-46.676409
-23.639915,-46.676488
-23.639561,-46.676572
-23.638991,-46.676704
